Plot,Trap,Treatment,Set.Date,Extraction.Date,Tall,Pair,Fraction,Counted.C,Total.C,Counted.T,Total.T,Total
1,Infall,Tall,2018-07-25,2018-08-01,1,1,  1/8 ,0,0,187,1496,1496
1,Pitfall,Tall,2018-07-25,2018-08-01,1,5,1,0,0,57,57,57
1,Infall,Tall,2018-08-01,2018-08-08,1,1,  1/4 ,0,0,120,480,480
1,Pitfall,Tall,2018-08-01,2018-08-08,1,5,1,0,0,11,11,11
1,Infall,Tall,2018-08-08,2018-08-16,1,1,  1/8 ,0,0,110,880,880
1,Pitfall,Tall,2018-08-08,2018-08-16,1,5,1,0,0,6,6,6
2,Infall,Short,2018-07-25,2018-08-01,0,1,  1/8 ,0,0,246,1968,1968
2,Pitfall,Short,2018-07-25,2018-08-01,0,5,1,0,0,246,246,246
2,Infall,Short,2018-08-01,2018-08-08,0,1,  1/4 ,0,0,320,1280,1280
2,Pitfall,Short,2018-08-01,2018-08-08,0,5,1,0,0,102,102,102
2,Infall,Short,2018-08-08,2018-08-16,0,1,  1/8 ,0,0,143,1144,1144
2,Pitfall,Short,2018-08-08,2018-08-16,0,5,1,0,0,19,19,19
3,Infall,Short,2018-07-25,2018-08-01,0,2,  1/8 ,0,0,239,1912,1912
3,Pitfall,Short,2018-07-25,2018-08-01,0,6,1,0,0,164,164,164
3,Infall,Short,2018-08-01,2018-08-08,0,2,  1/8 ,0,0,232,1856,1856
3,Pitfall,Short,2018-08-01,2018-08-08,0,6,1,0,0,24,24,24
3,Infall,Short,2018-08-08,2018-08-16,0,2,  1/8 ,0,0,177,1416,1416
3,Pitfall,Short,2018-08-08,2018-08-16,0,6,1,0,0,44,44,44
4,Infall,Tall,2018-07-25,2018-08-01,1,2,  1/8 ,0,0,177,1416,1416
4,Pitfall,Tall,2018-07-25,2018-08-01,1,6,1,0,0,85,85,85
4,Infall,Tall,2018-08-01,2018-08-08,1,2,  1/4 ,0,0,136,544,544
4,Pitfall,Tall,2018-08-01,2018-08-08,1,6,1,0,0,15,15,15
4,Infall,Tall,2018-08-08,2018-08-16,1,2,  1/8 ,0,0,209,1672,1672
4,Pitfall,Tall,2018-08-08,2018-08-16,1,6,1,0,0,9,9,9
5,Infall,Tall,2018-07-25,2018-08-01,1,3,  1/8 ,0,0,101,808,808
5,Pitfall,Tall,2018-07-25,2018-08-01,1,7,1,0,0,79,79,79
5,Infall,Tall,2018-08-01,2018-08-08,1,3,  1/4 ,0,0,129,516,516
5,Pitfall,Tall,2018-08-01,2018-08-08,1,7,1,0,0,11,11,11
5,Infall,Tall,2018-08-08,2018-08-16,1,3,  1/8 ,0,0,141,1128,1128
5,Pitfall,Tall,2018-08-08,2018-08-16,1,7,1,0,0,20,20,20
6,Infall,Short,2018-07-25,2018-08-01,0,3,  1/8 ,0,0,234,1872,1872
6,Pitfall,Short,2018-07-25,2018-08-01,0,7,1,0,0,175,175,175
6,Infall,Short,2018-08-01,2018-08-08,0,3,  1/4 ,0,0,135,540,540
6,Pitfall,Short,2018-08-01,2018-08-08,0,7,1,0,0,147,147,147
6,Infall,Short,2018-08-08,2018-08-16,0,3,  1/8 ,0,0,138,1104,1104
6,Pitfall,Short,2018-08-08,2018-08-16,0,7,1,0,0,88,88,88
7,Infall,Short,2018-07-25,2018-08-01,0,4,  1/8 ,0,0,190,1520,1520
7,Pitfall,Short,2018-07-25,2018-08-01,0,8,1,0,0,161,161,161
7,Infall,Short,2018-08-01,2018-08-08,0,4,  1/4 ,0,0,243,972,972
7,Pitfall,Short,2018-08-01,2018-08-08,0,8,1,0,0,68,68,68
7,Infall,Short,2018-08-08,2018-08-16,0,4,  1/8 ,0,0,187,1496,1496
7,Pitfall,Short,2018-08-08,2018-08-16,0,8,1,0,0,61,61,61
8,Infall,Tall,2018-07-25,2018-08-01,1,4,  1/8 ,0,0,248,1984,1984
8,Pitfall,Tall,2018-07-25,2018-08-01,1,8,1,0,0,22,22,22
8,Infall,Tall,2018-08-01,2018-08-08,1,4,  1/4 ,0,0,146,584,584
8,Pitfall,Tall,2018-08-01,2018-08-08,1,8,1,0,0,1,1,1
8,Infall,Tall,2018-08-08,2018-08-16,1,4,  1/8 ,0,0,144,1152,1152
8,Pitfall,Tall,2018-08-08,2018-08-16,1,8,1,0,0,16,16,16
